Pregunta,Malas,Totales,Porcentaje
 Presiona la letra c  ,3,3,1.0
 ¿En cuál de estas palabras se encuentra la letra H?  Me gusta beber jugo con dos cubitos de hielo.,3,3,1.0
 Presiona la letra i  ,1,2,0.5
 ¿Cuál de las palabras tiene como inicial la letra D?  Me gusta mucho leer acerca de los dinosaurios.,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra Q?  Quiero mucho a mis padres y a mis hermanos.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra Ñ?  Aníbal fue de escursión a la montaña.,4,4,1.0
 ¿Cuál de las palabras tiene como inicial la letra b?  Las hojas de los árboles se caen en otoño.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra Ñ?  A Josefina le regalaron una muñeca.,3,3,1.0
 Presiona la letra y griega  ,2,3,0.666666666667
 Presiona la letra m  ,2,4,0.5
 ¿En cuál de estas palabras se encuentra la letra M?  Las águilas siempre vuelan alto.,1,2,0.5
 ¿En cuál de estas palabras se encuentra la letra Q?  Rodrigo se quejó de dolor de muelas.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra L?  El cumpleaños de Lilian estuvo muy entretenido.,0,1,0.0
 Presiona la letra s  ,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra J?  Mi perrita  es muy juguetona.,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra R?  El árbol tiene muchas hojas y frutos.,0,1,0.0
 Presiona la letra r  ,6,7,0.857142857143
 ¿En cuál de estas palabras se encuentra la letra P?  Mis abuelos vendrán a casa para Navidad.,1,2,0.5
 ¿En cuál de estas palabras se encuentra la letra Ñ?  Elena se pintó las uñas de color naranjo.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra Q?  La hermana de Margarita tiene quince años.,1,2,0.5
 ¿En cuál de estas palabras se encuentra la letra G?  Mi gato se llama Fígaro.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra x?  Con mi profesora leemos textos muy entretenidos.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra G?  En mi estuche tengo lápices y goma.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra L?  La maleta de Manuel está pesada.,0,2,0.0
 ¿Cuál de las palabras tiene como inicial la letra D?  El delfín es un mamífero que vive en el agua.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra v?  La vaca tiene un lindo pelaje de color blanco y negro.,0,1,0.0
 ¿Cuál de las palabras tiene como inicial la letra b?  Fabián es el mejor amigo de Carlos.,0,2,0.0
 Presiona la letra h  ,1,2,0.5
 ¿En cuál de estas palabras se encuentra la letra v?  Mis vecinos son muy simpáticos.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra G?  Mi papá se llama Gerardo.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra K?  A mi hermano le gusta practicar karate.,1,5,0.2
 Presiona la letra ñ  ,1,2,0.5
 ¿En cuál de estas palabras se encuentra la letra Q?  Patricio llegó quinto lugar en la competencia de atletismo.,0,1,0.0
 ¿Cuál de las palabras tiene como inicial la letra D?  Debo lavar muy bien mis dientes para que estén sanos.,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra R?  Ramón visitó a su abuelita el sábado.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra M?  Laura es la mejor amiga de Isidora.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra J?  Juanito compró caramelos y helados.,0,2,0.0
