Pregunta,Malas,Totales,Porcentaje
 ¿Cuántas vocales tiene la siguiente palabra?  computador,0,2,0.0
 Presiona la letra c  ,57,61,0.934426229508
 ¿En cuál de estas palabras se encuentra la letra H?  Me gusta beber jugo con dos cubitos de hielo.,1,2,0.5
 Presiona la letra i  ,20,79,0.253164556962
 ¿Cuál de las siguientes palabras tiene tres sílabas?  La mariposa tiene lindos colores,4,5,0.8
 ¿Cuántas consonantes tiene la siguiente palabra?  cumpleaños,3,3,1.0
 ¿En cuál de estas palabras se encuentra la letra Q?  Quiero mucho a mis padres y a mis hermanos.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra Ñ?  Aníbal fue de escursión a la montaña.,3,3,1.0
 ¿En cuál de estas palabras se encuentra la letra Ñ?  A Josefina le regalaron una muñeca.,2,3,0.666666666667
 ¿Cuál de las siguientes palabras tiene cinco sílabas?  Al hipopótamo le gusta estar en el agua.,0,1,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  bicicleta,0,1,0.0
 Presiona la letra y griega  ,25,65,0.384615384615
 Presiona la letra m  ,27,73,0.369863013699
 Presiona la letra s  ,14,64,0.21875
 ¿Cuántas vocales tiene la siguiente palabra?  gigante,2,3,0.666666666667
 ¿Cuál de las siguientes palabras tiene cuatro sílabas?  A Miguel le gusta comer mandarinas.,0,2,0.0
 ¿En cuál de estas  dos palabras  se encuentra la I como sonido final?  ,0,1,0.0
 Presiona la letra r  ,33,62,0.532258064516
 ¿En cuál de estas  dos palabras encontramos  el sonido Ñ?  ,0,1,0.0
 ¿Cuál de las siguientes palabras tiene tres sílabas?  La cuncuna come hojas de los árboles.,0,1,0.0
 ¿Cuántas palabras tiene la siguiente oración?  Las jirafas tienen el cuello muy largo.,0,1,0.0
 ¿Cuál de las siguientes palabras tiene tres sílabas?  En el recreo corro jugando a la pelota.,3,4,0.75
 Presiona la letra g  ,48,77,0.623376623377
 ¿En cuál de estas  dos palabras  se encuentra la E como sonido final?  ,0,1,0.0
 Presiona la letra v  ,43,85,0.505882352941
 ¿Cuántas palabras tiene la siguiente oración?  La foca juega con la pelota.,1,2,0.5
 ¿Cuántas vocales tiene la siguiente palabra?  pastel,0,1,0.0
 Presiona la letra h  ,22,76,0.289473684211
 ¿En cuál de estas palabras se encuentra la letra v?  Todos los viernes salgo más temprano del colegio.,0,1,0.0
 ¿Cuál de las siguientes palabras tiene cuatro sílabas?  Mi mamá cocina ricas empanadas.,1,4,0.25
 ¿En cuál de estas palabras se encuentra la letra K?  A mi hermano le gusta practicar karate.,1,2,0.5
 ¿Cuál de las siguientes palabras tiene cuatro sílabas?  En el cine vi una buena película.,1,2,0.5
 Presiona la letra b  ,24,70,0.342857142857
 ¿Cuántas vocales tiene la siguiente palabra?  sombrero,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra M?  Laura es la mejor amiga de Isidora.,0,2,0.0
 Presiona la letra l  ,25,68,0.367647058824
 ¿Cuántas palabras tiene la siguiente oración?  Me gusta leer rimas y poemas.,0,1,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  noche,0,1,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  caballo,1,2,0.5
 ¿Cuántas palabras tiene la siguiente oración?  El primo de Eduardo es zurdo.,0,1,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  perro,0,1,0.0
 Presiona la letra z  ,25,58,0.431034482759
 Presiona la letra u  ,22,65,0.338461538462
 ¿Cuál de las siguientes palabras tiene dos sílabas?  Yo hago las tareas en mi computador.,3,3,1.0
 ¿Cuántas vocales tiene la siguiente palabra?  cuento,1,3,0.333333333333
 ¿Cuántas consonantes tiene la siguiente palabra?  panaderos,4,4,1.0
 ¿En cuál de estas palabras se encuentra la letra v?  Me gusta tomar jugo en vaso plástico.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra H?  En el zoologico vi un hipopótamo. ,0,2,0.0
 ¿Cuál de las siguientes palabras tiene dos sílabas?  Camila y Felipe juegan con el dado.,2,3,0.666666666667
 ¿En cuál de estas palabras se encuentra la letra G?  Todas mis amigas son muy generosas.,0,1,0.0
 ¿En cuál de estas  dos palabras  se encuentra la U como sonido inicial?  ,1,2,0.5
 ¿Cuántas consonantes tiene la siguiente palabra?  caracol,0,1,0.0
 ¿Cuántas palabras tiene la siguiente oración?  Me gusta acostarme en el pasto.,0,2,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  castillo,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra R?  Octavio regaló un ramo de flores a su tía.,0,1,0.0
 Presiona la letra e  ,22,72,0.305555555556
 Presiona la letra k  ,29,74,0.391891891892
 Presiona la letra q  ,35,64,0.546875
 ¿En cuál de estas  dos palabras encontramos  el sonido T?  ,0,1,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  otoño,0,2,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  cordillera,0,1,0.0
 ¿En cuál de estas  dos palabras  se encuentra la I como sonido inicial?  ,0,2,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  noche,0,1,0.0
 ¿Cuál de las siguientes palabras tiene una sílaba?  Puedo ver el sol en el cielo.,1,4,0.25
 Presiona la letra o  ,56,72,0.777777777778
 ¿Cuál de las siguientes palabras tiene dos sílabas?  Los pájaros tienen lindos colores.,0,1,0.0
 ¿Cuál de las siguientes palabras tiene cinco sílabas?  En mi colegio hay buenos educadores.,1,2,0.5
 ¿Cuál de las siguientes palabras tiene cinco sílabas?  Mi hermano mayor estudia en la universidad.,1,2,0.5
 Presiona la letra t  ,30,68,0.441176470588
 Presiona la letra ñ  ,28,82,0.341463414634
 ¿Cuántas consonantes tiene la siguiente palabra?  baile,0,1,0.0
 Presiona la letra x  ,20,60,0.333333333333
 Presiona la letra a  ,20,64,0.3125
 ¿Cuántas vocales tiene la siguiente palabra?  feria,1,2,0.5
 ¿Cuántas vocales tiene la siguiente palabra?  bolso,0,1,0.0
 Presiona la letra d  ,25,72,0.347222222222
 ¿Cuántas palabras tiene la siguiente oración?  Tomás es mi mejor amigo.,3,3,1.0
 ¿Cuántas consonantes tiene la siguiente palabra?  caballo,0,2,0.0
 Presiona la letra j  ,19,69,0.275362318841
 ¿Cuántas consonantes tiene la siguiente palabra?  astronauta,1,3,0.333333333333
 ¿Cuántas palabras tiene la siguiente oración?  El cumpleaños de Lilian estuvo muy entretenido.,0,1,0.0
 ¿En cuál de estas  dos palabras  se encuentra la O como sonido final?  ,2,4,0.5
 ¿Cuántas palabras tiene la siguiente oración?  Hoy comí cerezas de postre.,0,1,0.0
 ¿Cuál de las siguientes palabras tiene una sílaba?  En el árbol hay ricas manzanas.,1,2,0.5
 ¿Cuál de las siguientes palabras tiene cuatro sílabas?  A mi me gusta jugar en el computador.,0,1,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  lápiz,1,2,0.5
 Presiona la letra n  ,19,71,0.267605633803
 Presiona la letra p  ,14,62,0.225806451613
 ¿En cuál de estas palabras se encuentra la letra G?  Mi papá se llama Gerardo.,3,3,1.0
 ¿Cuál de las siguientes palabras tiene dos sílabas?  La foca juega con la pelota.,0,2,0.0
 Presiona la letra doble b  ,24,58,0.413793103448
 ¿En cuál de estas palabras se encuentra la letra N?  El lunes es el primer día de la semana.,0,1,0.0
 ¿En cuál de estas  dos palabras  se encuentra la O como sonido  inicial?  ,0,1,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  plátano,0,1,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  frutilla,0,1,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  feria,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra v?  Hoy salí abrigado de casa porque hay mucho viento.,0,1,0.0
 ¿En cuál de estas  dos palabras encontramos  el sonido R?  ,0,2,0.0
 ¿Cuál de las siguientes palabras tiene cinco sílabas?  Los computadores de mi colegio son muy rápidos.,0,1,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  bolso,3,4,0.75
 Presiona la letra f  ,17,70,0.242857142857
