Pregunta,Malas,Totales,Porcentaje
 ¿Cuántas vocales tiene la siguiente palabra?  baile,0,4,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  computador,0,3,0.0
 ¿En cuál de estas palabras se encuentra la letra N?  Me gustaría viajar en una nave espacial.,2,3,0.666666666667
 Presiona la letra c  ,12,18,0.666666666667
 ¿Cuántas vocales tiene la siguiente palabra?  astronauta,0,5,0.0
 ¿En cuál de estas palabras se encuentra la letra H?  Me gusta beber jugo con dos cubitos de hielo.,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra Ñ?  Elena se pintó las uñas de color naranjo.,0,3,0.0
 Presiona la letra i  ,10,21,0.47619047619
 ¿Cuántas consonantes tiene la siguiente palabra?  lápiz,1,5,0.2
 ¿En cuál de estas palabras se encuentra la letra Q?  Anita quebró el florero de su mamá.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra Z?  El collar de Cristina tiene zafiros y perlas.,3,3,1.0
 ¿En cuál de estas palabras se encuentra la letra L?  El león ruge fuerte.,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra Q?  Quiero mucho a mis padres y a mis hermanos.,0,3,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  imaginación,0,1,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  hormiga,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra K?  El kiwi es una fruta ácida.,0,1,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  imaginación,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra v?  Me gusta mucho escuchar a las aves cantar.,3,3,1.0
 ¿En cuál de estas palabras se encuentra la letra Ñ?  A Josefina le regalaron una muñeca.,0,1,0.0
 ¿En cuál de estas palabras se encuentra la letra x?  Me gustó mucho la exposición de arte.,0,1,0.0
 ¿Cuántas vocales tiene la siguiente palabra?  bicicleta,0,1,0.0
 Presiona la letra y griega  ,2,15,0.133333333333
 ¿En cuál de estas  dos palabras encontramos  el sonido CH?  ,0,1,0.0
 Presiona la letra m  ,10,19,0.526315789474
 ¿En cuál de estas palabras se encuentra la letra M?  Las águilas siempre vuelan alto.,1,1,1.0
 ¿En cuál de estas palabras se encuentra la letra Q?  Rodrigo se quejó de dolor de muelas.,0,1,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  carta,0,2,0.0
 Presiona la letra s  ,7,16,0.4375
 ¿Cuántas vocales tiene la siguiente palabra?  estuche,0,2,0.0
 ¿En cuál de estas palabras se encuentra la letra L?  Mi mamá tiene lanas de muchos colores.,5,6,0.833333333333
 ¿Cuántas vocales tiene la siguiente palabra?  empanada,0,2,0.0
 ¿Cuál de las palabras tiene como inicial la letra D?  Con mis amigos juego a lanzar los dados.,0,1,0.0
 ¿Cuántas consonantes tiene la siguiente palabra?  mascota,0,1,0.0
